official_lang,translation_lang,original_file,original_commit,translation_file,translation_exists,translation_commit,translation_is_outdated
en,ko,docs/source/en/perf_torch_compile.md,2024-07-29 10:50:43+01:00,docs/source/ko/perf_torch_compile.md,False,,False
en,ko,docs/source/en/perf_train_special.md,2024-02-16 08:16:58+01:00,docs/source/ko/perf_train_special.md,False,,False
en,ko,docs/source/en/tiktoken.md,2024-09-06 14:24:02+02:00,docs/source/ko/tiktoken.md,False,,False
en,ko,docs/source/en/peft.md,2024-09-09 10:47:24+02:00,docs/source/ko/peft.md,True,2024-05-30 16:47:35+02:00,True
en,ko,docs/source/en/tasks/translation.md,2024-09-12 10:16:12-07:00,docs/source/ko/tasks/translation.md,True,2024-05-02 14:42:25+01:00,True
en,ko,docs/source/en/tasks/document_question_answering.md,2024-04-24 09:38:10+02:00,docs/source/ko/tasks/document_question_answering.md,True,2024-04-24 09:38:10+02:00,False
en,ko,docs/source/en/tasks/idefics.md,2024-02-08 14:13:35-08:00,docs/source/ko/tasks/idefics.md,True,2024-08-06 11:58:21-07:00,False
en,ko,docs/source/en/tasks/summarization.md,2024-09-12 10:16:12-07:00,docs/source/ko/tasks/summarization.md,True,2024-05-02 14:42:25+01:00,True
en,ko,docs/source/en/tasks/mask_generation.md,2024-06-23 20:27:21+01:00,docs/source/ko/tasks/mask_generation.md,True,2024-08-06 11:36:14-07:00,False
en,ko,docs/source/en/tasks/zero_shot_object_detection.md,2024-09-12 11:25:44+02:00,docs/source/ko/tasks/zero_shot_object_detection.md,True,2023-06-20 18:07:47-04:00,True
en,ko,docs/source/en/tasks/semantic_segmentation.md,2024-06-10 12:35:10+01:00,docs/source/ko/tasks/semantic_segmentation.md,True,2024-06-10 12:35:10+01:00,False
en,ko,docs/source/en/tasks/image_captioning.md,2024-04-18 12:49:43-04:00,docs/source/ko/tasks/image_captioning.md,True,2024-04-18 12:49:43-04:00,False
en,ko,docs/source/en/tasks/image_text_to_text.md,2024-09-09 10:47:24+02:00,docs/source/ko/tasks/image_text_to_text.md,False,,False
en,ko,docs/source/en/tasks/object_detection.md,2024-06-19 10:36:44+01:00,docs/source/ko/tasks/object_detection.md,True,2024-04-24 09:38:10+02:00,True
en,ko,docs/source/en/tasks/token_classification.md,2024-04-24 09:38:10+02:00,docs/source/ko/tasks/token_classification.md,True,2024-04-24 09:38:10+02:00,False
en,ko,docs/source/en/tasks/sequence_classification.md,2024-04-24 09:38:10+02:00,docs/source/ko/tasks/sequence_classification.md,True,2024-04-24 09:38:10+02:00,False
en,ko,docs/source/en/tasks/knowledge_distillation_for_image_classification.md,2024-04-18 12:49:43-04:00,docs/source/ko/tasks/knowledge_distillation_for_image_classification.md,True,2024-08-22 10:42:39-07:00,False
en,ko,docs/source/en/tasks/zero_shot_image_classification.md,2024-06-19 11:11:44+01:00,docs/source/ko/tasks/zero_shot_image_classification.md,True,2023-06-20 18:07:47-04:00,True
en,ko,docs/source/en/tasks/visual_question_answering.md,2023-08-09 08:29:06-04:00,docs/source/ko/tasks/visual_question_answering.md,True,2023-08-24 11:14:58-07:00,False
en,ko,docs/source/en/tasks/video_text_to_text.md,2024-09-01 12:06:31+03:00,docs/source/ko/tasks/video_text_to_text.md,False,,False
en,ko,docs/source/en/tasks/image_classification.md,2024-05-15 08:38:30+02:00,docs/source/ko/tasks/image_classification.md,True,2024-04-24 09:38:10+02:00,True
en,ko,docs/source/en/tasks/monocular_depth_estimation.md,2024-09-09 10:47:24+02:00,docs/source/ko/tasks/monocular_depth_estimation.md,True,2024-04-24 09:38:10+02:00,True
en,ko,docs/source/en/tasks/multiple_choice.md,2024-09-11 09:56:40-07:00,docs/source/ko/tasks/multiple_choice.md,True,2024-04-24 09:38:10+02:00,True
en,ko,docs/source/en/tasks/keypoint_detection.md,2024-09-16 13:08:31+02:00,docs/source/ko/tasks/keypoint_detection.md,False,,False
en,ko,docs/source/en/tasks/question_answering.md,2024-04-24 09:38:10+02:00,docs/source/ko/tasks/question_answering.md,True,2024-04-24 09:38:10+02:00,False
en,ko,docs/source/en/tasks/masked_language_modeling.md,2024-09-11 09:56:55-07:00,docs/source/ko/tasks/masked_language_modeling.md,True,2024-04-24 09:38:10+02:00,True
en,ko,docs/source/en/tasks/image_to_image.md,2024-09-09 10:47:24+02:00,docs/source/ko/tasks/image_to_image.md,True,2024-08-06 11:59:44-07:00,True
en,ko,docs/source/en/tasks/video_classification.md,2024-09-09 10:47:24+02:00,docs/source/ko/tasks/video_classification.md,True,2024-04-24 09:38:10+02:00,True
en,ko,docs/source/en/tasks/text-to-speech.md,2024-09-09 10:47:24+02:00,docs/source/ko/tasks/text-to-speech.md,False,,False
en,ko,docs/source/en/tasks/audio_classification.md,2024-09-09 10:47:24+02:00,docs/source/ko/tasks/audio_classification.md,True,2024-04-24 09:38:10+02:00,True
en,ko,docs/source/en/tasks/asr.md,2024-09-09 10:47:24+02:00,docs/source/ko/tasks/asr.md,True,2024-04-24 09:38:10+02:00,True
en,ko,docs/source/en/tasks/language_modeling.md,2024-09-11 09:56:55-07:00,docs/source/ko/tasks/language_modeling.md,True,2024-05-02 14:42:25+01:00,True
en,ko,docs/source/en/tasks/prompting.md,2024-09-09 10:47:24+02:00,docs/source/ko/tasks/prompting.md,True,2024-08-07 09:44:31-07:00,True
en,ko,docs/source/en/tasks/image_feature_extraction.md,2024-03-26 12:32:37+01:00,docs/source/ko/tasks/image_feature_extraction.md,True,2024-08-07 09:56:23-07:00,False
en,ko,docs/source/en/model_doc/timesformer.md,2023-11-03 10:57:03-04:00,docs/source/ko/model_doc/timesformer.md,False,,False
en,ko,docs/source/en/model_doc/deberta-v2.md,2023-11-03 10:57:03-04:00,docs/source/ko/model_doc/deberta-v2.md,False,,False
en,ko,docs/source/en/model_doc/chinese_clip.md,2023-11-03 10:57:03-04:00,docs/source/ko/model_doc/chinese_clip.md,False,,False
en,ko,docs/source/en/model_doc/phobert.md,2024-09-09 10:47:24+02:00,docs/source/ko/model_doc/phobert.md,False,,False
en,ko,docs/source/en/model_doc/fuyu.md,2024-09-24 21:28:19-04:00,docs/source/ko/model_doc/fuyu.md,False,,False
en,ko,docs/source/en/model_doc/vision-encoder-decoder.md,2024-02-16 08:16:58+01:00,docs/source/ko/model_doc/vision-encoder-decoder.md,False,,False
en,ko,docs/source/en/model_doc/matcha.md,2024-09-09 10:47:24+02:00,docs/source/ko/model_doc/matcha.md,False,,False
en,ko,docs/source/en/model_doc/switch_transformers.md,2023-11-06 19:45:03+00:00,docs/source/ko/model_doc/switch_transformers.md,False,,False
en,ko,docs/source/en/model_doc/vits.md,2024-09-09 10:47:24+02:00,docs/source/ko/model_doc/vits.md,False,,False
en,ko,docs/source/en/model_doc/rag.md,2023-11-03 10:57:03-04:00,docs/source/ko/model_doc/rag.md,False,,False
en,ko,docs/source/en/model_doc/mobilebert.md,2023-11-06 19:45:03+00:00,docs/source/ko/model_doc/mobilebert.md,False,,False
en,ko,docs/source/en/model_doc/pvt_v2.md,2024-03-13 19:05:20+00:00,docs/source/ko/model_doc/pvt_v2.md,False,,False
en,ko,docs/source/en/model_doc/trocr.md,2023-11-03 10:57:03-04:00,docs/source/ko/model_doc/trocr.md,False,,False
en,ko,docs/source/en/model_doc/bartpho.md,2023-11-03 10:57:03-04:00,docs/source/ko/model_doc/bartpho.md,False,,False
en,ko,docs/source/en/model_doc/biogpt.md,2024-09-20 14:27:32+01:00,docs/source/ko/model_doc/biogpt.md,False,,False
en,ko,docs/source/en/model_doc/speecht5.md,2023-08-03 14:12:07+01:00,docs/source/ko/model_doc/speecht5.md,False,,False
en,ko,docs/source/en/model_doc/mobilenet_v1.md,2023-11-03 10:57:03-04:00,docs/source/ko/model_doc/mobilenet_v1.md,False,,False
en,ko,docs/source/en/model_doc/jetmoe.md,2024-05-14 16:32:01+02:00,docs/source/ko/model_doc/jetmoe.md,False,,False
en,ko,docs/source/en/model_doc/xlm-roberta-xl.md,2023-11-03 10:57:03-04:00,docs/source/ko/model_doc/xlm-roberta-xl.md,False,,False
en,ko,docs/source/en/model_doc/bit.md,2023-11-03 10:57:03-04:00,docs/source/ko/model_doc/bit.md,False,,False
en,ko,docs/source/en/model_doc/idefics.md,2024-05-13 15:59:46+01:00,docs/source/ko/model_doc/idefics.md,False,,False
en,ko,docs/source/en/model_doc/vilt.md,2023-11-03 10:57:03-04:00,docs/source/ko/model_doc/vilt.md,False,,False
en,ko,docs/source/en/model_doc/mpt.md,2024-09-09 10:47:24+02:00,docs/source/ko/model_doc/mpt.md,False,,False
en,ko,docs/source/en/model_doc/code_llama.md,2024-09-09 10:47:24+02:00,docs/source/ko/model_doc/code_llama.md,False,,False
en,ko,docs/source/en/model_doc/llava_next.md,2024-09-24 21:28:19-04:00,docs/source/ko/model_doc/llava_next.md,False,,False
en,ko,docs/source/en/model_doc/xglm.md,2023-11-03 10:57:03-04:00,docs/source/ko/model_doc/xglm.md,False,,False
en,ko,docs/source/en/model_doc/layoutlmv2.md,2024-02-12 10:48:31-08:00,docs/source/ko/model_doc/layoutlmv2.md,False,,False
en,ko,docs/source/en/model_doc/retribert.md,2023-07-13 11:46:54-04:00,docs/source/ko/model_doc/retribert.md,False,,False
en,ko,docs/source/en/model_doc/bark.md,2023-12-09 05:38:14+09:00,docs/source/ko/model_doc/bark.md,False,,False
en,ko,docs/source/en/model_doc/ernie_m.md,2024-05-28 18:07:07+01:00,docs/source/ko/model_doc/ernie_m.md,False,,False
en,ko,docs/source/en/model_doc/seggpt.md,2024-09-09 10:47:24+02:00,docs/source/ko/model_doc/seggpt.md,False,,False
en,ko,docs/source/en/model_doc/fastspeech2_conformer.md,2024-03-29 14:31:31+00:00,docs/source/ko/model_doc/fastspeech2_conformer.md,False,,False
en,ko,docs/source/en/model_doc/xclip.md,2024-05-28 18:07:07+01:00,docs/source/ko/model_doc/xclip.md,False,,False
en,ko,docs/source/en/model_doc/videomae.md,2024-05-16 10:56:11+01:00,docs/source/ko/model_doc/videomae.md,False,,False
en,ko,docs/source/en/model_doc/vit.md,2024-06-11 15:47:38+01:00,docs/source/ko/model_doc/vit.md,False,,False
en,ko,docs/source/en/model_doc/jamba.md,2024-09-09 10:47:24+02:00,docs/source/ko/model_doc/jamba.md,False,,False
en,ko,docs/source/en/model_doc/llama.md,2024-05-20 10:06:57+02:00,docs/source/ko/model_doc/llama.md,True,2023-09-08 12:38:41-07:00,True
en,ko,docs/source/en/model_doc/llava_next_video.md,2024-09-24 03:40:56-06:00,docs/source/ko/model_doc/llava_next_video.md,False,,False
en,ko,docs/source/en/model_doc/xlsr_wav2vec2.md,2024-06-05 11:56:11+01:00,docs/source/ko/model_doc/xlsr_wav2vec2.md,False,,False
en,ko,docs/source/en/model_doc/mvp.md,2023-11-03 10:57:03-04:00,docs/source/ko/model_doc/mvp.md,False,,False
en,ko,docs/source/en/model_doc/mbart.md,2024-09-09 10:47:24+02:00,docs/source/ko/model_doc/mbart.md,False,,False
en,ko,docs/source/en/model_doc/whisper.md,2024-08-27 14:11:52+02:00,docs/source/ko/model_doc/whisper.md,True,2023-11-20 17:36:48+01:00,True
en,ko,docs/source/en/model_doc/layoutlmv3.md,2023-11-03 10:57:03-04:00,docs/source/ko/model_doc/layoutlmv3.md,False,,False
en,ko,docs/source/en/model_doc/deformable_detr.md,2024-05-08 11:42:07+01:00,docs/source/ko/model_doc/deformable_detr.md,False,,False
en,ko,docs/source/en/model_doc/mllama.md,2024-09-25 19:56:25+02:00,docs/source/ko/model_doc/mllama.md,False,,False
en,ko,docs/source/en/model_doc/blip.md,2024-06-04 18:29:45+02:00,docs/source/ko/model_doc/blip.md,False,,False
en,ko,docs/source/en/model_doc/persimmon.md,2024-05-20 10:06:57+02:00,docs/source/ko/model_doc/persimmon.md,False,,False
en,ko,docs/source/en/model_doc/deplot.md,2023-11-03 10:57:03-04:00,docs/source/ko/model_doc/deplot.md,False,,False
en,ko,docs/source/en/model_doc/gemma2.md,2024-08-07 10:03:05+05:00,docs/source/ko/model_doc/gemma2.md,False,,False
en,ko,docs/source/en/model_doc/maskformer.md,2024-05-31 16:56:17+01:00,docs/source/ko/model_doc/maskformer.md,False,,False
en,ko,docs/source/en/model_doc/kosmos-2.md,2023-10-30 21:42:19+01:00,docs/source/ko/model_doc/kosmos-2.md,False,,False
en,ko,docs/source/en/model_doc/wav2vec2.md,2024-06-05 11:56:11+01:00,docs/source/ko/model_doc/wav2vec2.md,False,,False
en,ko,docs/source/en/model_doc/gpt-sw3.md,2024-01-15 09:09:22+01:00,docs/source/ko/model_doc/gpt-sw3.md,False,,False
en,ko,docs/source/en/model_doc/vivit.md,2023-11-03 10:57:03-04:00,docs/source/ko/model_doc/vivit.md,False,,False
en,ko,docs/source/en/model_doc/resnet.md,2023-11-03 10:57:03-04:00,docs/source/ko/model_doc/resnet.md,False,,False
en,ko,docs/source/en/model_doc/van.md,2024-02-02 08:45:00+01:00,docs/source/ko/model_doc/van.md,False,,False
en,ko,docs/source/en/model_doc/flaubert.md,2023-11-03 10:57:03-04:00,docs/source/ko/model_doc/flaubert.md,False,,False
en,ko,docs/source/en/model_doc/tvp.md,2023-11-23 17:02:16+00:00,docs/source/ko/model_doc/tvp.md,False,,False
en,ko,docs/source/en/model_doc/fnet.md,2023-11-03 10:57:03-04:00,docs/source/ko/model_doc/fnet.md,False,,False
en,ko,docs/source/en/model_doc/unispeech.md,2023-11-03 10:57:03-04:00,docs/source/ko/model_doc/unispeech.md,False,,False
en,ko,docs/source/en/model_doc/cpmant.md,2023-11-03 10:57:03-04:00,docs/source/ko/model_doc/cpmant.md,False,,False
en,ko,docs/source/en/model_doc/speech-encoder-decoder.md,2024-02-16 08:16:58+01:00,docs/source/ko/model_doc/speech-encoder-decoder.md,False,,False
en,ko,docs/source/en/model_doc/mimi.md,2024-09-18 19:23:44+02:00,docs/source/ko/model_doc/mimi.md,False,,False
en,ko,docs/source/en/model_doc/mms.md,2024-09-09 10:47:24+02:00,docs/source/ko/model_doc/mms.md,False,,False
en,ko,docs/source/en/model_doc/bort.md,2023-11-03 10:57:03-04:00,docs/source/ko/model_doc/bort.md,False,,False
en,ko,docs/source/en/model_doc/squeezebert.md,2023-11-03 10:57:03-04:00,docs/source/ko/model_doc/squeezebert.md,False,,False
en,ko,docs/source/en/model_doc/wav2vec2_phoneme.md,2023-11-03 10:57:03-04:00,docs/source/ko/model_doc/wav2vec2_phoneme.md,False,,False
en,ko,docs/source/en/model_doc/big_bird.md,2023-11-03 10:57:03-04:00,docs/source/ko/model_doc/big_bird.md,False,,False
en,ko,docs/source/en/model_doc/mixtral.md,2024-09-24 03:40:56-06:00,docs/source/ko/model_doc/mixtral.md,False,,False
en,ko,docs/source/en/model_doc/graphormer.md,2024-05-28 18:07:07+01:00,docs/source/ko/model_doc/graphormer.md,False,,False
en,ko,docs/source/en/model_doc/deberta.md,2023-11-03 10:57:03-04:00,docs/source/ko/model_doc/deberta.md,False,,False
en,ko,docs/source/en/model_doc/vit_hybrid.md,2024-05-28 18:07:07+01:00,docs/source/ko/model_doc/vit_hybrid.md,False,,False
en,ko,docs/source/en/model_doc/data2vec.md,2023-11-03 10:57:03-04:00,docs/source/ko/model_doc/data2vec.md,False,,False
en,ko,docs/source/en/model_doc/ul2.md,2023-11-03 10:57:03-04:00,docs/source/ko/model_doc/ul2.md,False,,False
en,ko,docs/source/en/model_doc/olmo.md,2024-04-17 17:59:07+02:00,docs/source/ko/model_doc/olmo.md,False,,False
en,ko,docs/source/en/model_doc/xlm-roberta.md,2024-09-09 10:47:24+02:00,docs/source/ko/model_doc/xlm-roberta.md,False,,False
en,ko,docs/source/en/model_doc/dit.md,2023-11-03 10:57:03-04:00,docs/source/ko/model_doc/dit.md,False,,False
en,ko,docs/source/en/model_doc/tvlt.md,2024-05-28 18:07:07+01:00,docs/source/ko/model_doc/tvlt.md,False,,False
en,ko,docs/source/en/model_doc/time_series_transformer.md,2023-11-03 10:57:03-04:00,docs/source/ko/model_doc/time_series_transformer.md,False,,False
en,ko,docs/source/en/model_doc/gpt_neo.md,2023-12-09 05:38:14+09:00,docs/source/ko/model_doc/gpt_neo.md,False,,False
en,ko,docs/source/en/model_doc/hubert.md,2024-04-22 18:30:38+01:00,docs/source/ko/model_doc/hubert.md,False,,False
en,ko,docs/source/en/model_doc/qwen2.md,2024-07-24 11:54:41+01:00,docs/source/ko/model_doc/qwen2.md,False,,False
en,ko,docs/source/en/model_doc/zoedepth.md,2024-07-08 11:43:33+02:00,docs/source/ko/model_doc/zoedepth.md,False,,False
en,ko,docs/source/en/model_doc/idefics3.md,2024-09-25 21:28:49+02:00,docs/source/ko/model_doc/idefics3.md,False,,False
en,ko,docs/source/en/model_doc/layoutlm.md,2023-11-03 10:57:03-04:00,docs/source/ko/model_doc/layoutlm.md,False,,False
en,ko,docs/source/en/model_doc/table-transformer.md,2023-11-03 10:57:03-04:00,docs/source/ko/model_doc/table-transformer.md,False,,False
en,ko,docs/source/en/model_doc/lilt.md,2024-02-12 10:48:31-08:00,docs/source/ko/model_doc/lilt.md,False,,False
en,ko,docs/source/en/model_doc/m2m_100.md,2024-09-25 18:04:42+01:00,docs/source/ko/model_doc/m2m_100.md,False,,False
en,ko,docs/source/en/model_doc/instructblipvideo.md,2024-06-25 15:45:39+05:00,docs/source/ko/model_doc/instructblipvideo.md,False,,False
en,ko,docs/source/en/model_doc/owlv2.md,2024-05-14 08:36:11+02:00,docs/source/ko/model_doc/owlv2.md,False,,False
en,ko,docs/source/en/model_doc/funnel.md,2023-11-03 10:57:03-04:00,docs/source/ko/model_doc/funnel.md,False,,False
en,ko,docs/source/en/model_doc/llama2.md,2023-12-20 14:25:07+05:30,docs/source/ko/model_doc/llama2.md,True,2023-09-12 08:04:26-07:00,True
en,ko,docs/source/en/model_doc/mctct.md,2023-11-03 10:57:03-04:00,docs/source/ko/model_doc/mctct.md,False,,False
en,ko,docs/source/en/model_doc/blenderbot-small.md,2023-11-03 10:57:03-04:00,docs/source/ko/model_doc/blenderbot-small.md,False,,False
en,ko,docs/source/en/model_doc/vitmatte.md,2023-11-03 10:57:03-04:00,docs/source/ko/model_doc/vitmatte.md,False,,False
